sname,cname,NumCurrElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark
North Hollywood Senior High,Los Angeles,251,70.08,168,47.09,165,45.71
Reseda Senior High,Los Angeles,115,64.25,64,35.75,62,34.64
Theodore Roosevelt Senior High,Los Angeles,60,32.61,23,12.50,22,11.96
San Fernando Senior High,Los Angeles,132,45.83,73,25.35,64,22.22
San Pedro Senior High,Los Angeles,217,71.71,129,42.43,122,40.13
South Gate Senior High,Los Angeles,201,55.07,69,18.90,65,17.81
Sylmar Charter High,Los Angeles,132,47.65,64,23.10,55,19.86
Taft Charter High,Los Angeles,245,77.53,179,56.65,170,53.80
University Senior High,Los Angeles,171,68.67,121,48.59,114,45.78
Van Nuys Senior High,Los Angeles,245,78.78,191,61.41,181,58.20
Venice Senior High,Los Angeles,176,78.32,109,48.67,108,47.79
Verdugo Hills Senior High,Los Angeles,102,63.58,63,39.51,61,37.65
George Washington Preparatory High,Los Angeles,32,35.56,7,7.78,5,5.56
WESM Health/Sports Medicine,Los Angeles,95,60.13,38,24.05,37,23.42
Woodrow Wilson Senior High,Los Angeles,108,47.58,50,22.03,42,18.50
John F. Kennedy High,Los Angeles,183,67.03,111,40.66,105,38.46
Francisco Bravo Medical Magnet High,Los Angeles,243,72.32,160,47.62,154,45.83
Palisades Charter High,Los Angeles,335,88.45,263,69.55,260,68.24
City of Angels,Los Angeles,15,71.43,7,33.33,7,33.33
Los Angeles Leadership Academy,Los Angeles,26,55.32,10,21.28,10,21.28
Elizabeth Learning Center,Los Angeles,43,41.75,20,19.42,17,16.50
Thirty-Second Street USC Performing Arts,Los Angeles,34,55.74,16,26.23,16,26.23
Vaughn Next Century Learning Center,Los Angeles,60,55.56,37,34.26,31,28.70
Robert Fulton College Preparatory,Los Angeles,47,47.47,23,23.23,21,21.21
Foshay Learning Center,Los Angeles,83,58.45,35,24.65,32,22.54
Sun Valley Magnet,Los Angeles,15,34.88,11,25.58,9,20.93
PUC Community Charter Middle and PUC Community Cha,Los Angeles,50,52.08,35,36.46,30,31.25
Marco Antonio Firebaugh High,Los Angeles,117,31.20,33,8.80,29,7.73
Vista High,Los Angeles,4,8.00,1,2.00,1,2.00
Lynwood High,Los Angeles,202,39.84,70,13.81,61,12.03
Monrovia High,Los Angeles,172,81.52,120,56.87,117,55.45
Applied Technology Center,Los Angeles,52,43.70,23,19.33,21,17.65
Schurr High,Los Angeles,304,53.90,181,32.09,165,29.26
Bell Gardens High,Los Angeles,221,37.59,95,16.16,85,14.46
Montebello High,Los Angeles,242,43.76,112,20.25,101,18.26
Vail High (Continuation),Los Angeles,4,5.33,2,2.67,0,0.00
John H. Glenn High,Los Angeles,93,33.45,37,13.31,32,11.51
La Mirada High,Los Angeles,201,56.55,104,29.25,95,26.46
Norwalk High,Los Angeles,219,47.61,91,19.78,84,18.26
El Camino High (Continuation),Los Angeles,5,5.43,0,0.00,0,0.00
Palmdale Aerospace Academy,Los Angeles,110,79.71,59,42.75,58,42.03
Guidance Charter,Los Angeles,10,38.46,0,0.00,0,0.00
Palos Verdes Peninsula High,Los Angeles,351,97.50,332,92.22,328,91.11
Palos Verdes High,Los Angeles,213,95.96,196,88.34,195,87.44
Paramount High,Los Angeles,400,36.00,187,16.83,170,15.30
Buena Vista High,Los Angeles,4,4.26,3,3.19,2,2.13
Aveson Global Leadership Academy,Los Angeles,22,78.57,9,32.14,9,32.14
Blair High,Los Angeles,38,64.41,23,38.98,22,37.29
Marshall Fundamental,Los Angeles,110,75.34,75,51.37,73,50.00
John Muir High,Los Angeles,52,53.61,31,31.96,27,27.84
Pasadena High,Los Angeles,198,75.57,137,52.29,127,48.47
Ganesha High,Los Angeles,59,49.17,25,20.83,25,20.83
Garey High,Los Angeles,89,55.63,45,28.75,39,24.38
Pomona High,Los Angeles,92,52.27,39,22.16,35,19.89
Diamond Ranch High,Los Angeles,182,72.05,114,45.28,112,44.09
Village Academy High School at Indian Hill,Los Angeles,28,59.57,15,31.91,13,27.66
Fremont Academy of Engineering and Design,Los Angeles,35,56.45,9,14.52,8,12.90
Palomares Academy of Health Science,Los Angeles,15,48.39,0,0.00,0,0.00
San Marino High,Los Angeles,174,97.27,172,96.17,174,95.08
Santa Monica High,Los Angeles,330,78.20,260,61.61,251,59.48
Malibu High,Los Angeles,96,89.72,79,73.83,79,73.83
South Pasadena Senior High,Los Angeles,214,93.91,187,82.17,186,80.87
Temple City High,Los Angeles,326,92.61,314,89.77,306,86.93
North High,Los Angeles,172,86.87,138,69.70,136,68.69
South High,Los Angeles,250,91.61,231,84.67,223,81.39
Torrance High,Los Angeles,203,80.95,147,58.33,139,55.16
West High,Los Angeles,268,95.71,238,85.00,236,84.29
California Virtual Academy @ Los Angeles,Los Angeles,26,76.47,16,47.06,16,47.06
Edgewood High,Los Angeles,97,78.23,72,58.06,67,54.03
West Covina High,Los Angeles,206,74.64,151,54.71,141,51.09
California High,Los Angeles,232,73.42,137,43.35,128,40.51
La Serna High,Los Angeles,364,78.79,259,56.06,246,53.25
Pioneer High,Los Angeles,97,63.40,73,47.71,60,39.22
Santa Fe High,Los Angeles,234,71.12,156,47.42,143,43.47
Whittier High,Los Angeles,147,60.49,105,43.21,89,36.63
Golden Valley High,Los Angeles,169,82.84,113,55.39,111,54.41
West Ranch High,Los Angeles,337,94.41,290,81.28,288,80.45
Santa Clarita Valley International,Los Angeles,23,69.70,7,21.21,7,21.21
Canyon High,Los Angeles,203,83.20,144,59.02,141,57.79
Saugus High,Los Angeles,271,92.81,219,75.00,214,73.29
William S. Hart High,Los Angeles,268,92.47,207,71.58,204,69.86
Valencia High,Los Angeles,378,91.55,295,71.50,290,70.05
Opportunities for Learning - Santa Clarita,Los Angeles,25,67.57,5,13.51,5,13.51
Academy of the Canyons,Los Angeles,84,97.67,71,82.56,71,82.56
Lifeline Education Charter,Los Angeles,5,12.50,2,5.00,0,0.00
Centennial High,Los Angeles,43,22.99,11,5.88,10,5.35
Compton High,Los Angeles,92,29.97,36,11.73,31,10.10
Dominguez High,Los Angeles,127,35.47,33,9.22,30,8.38
La Puente High,Los Angeles,79,65.29,38,31.40,35,28.93
Los Altos High,Los Angeles,176,71.54,92,37.40,86,34.96
Glen A. Wilson High,Los Angeles,209,88.56,173,73.31,170,72.03
William Workman High,Los Angeles,74,65.49,42,37.17,39,34.51
Nogales High,Los Angeles,145,59.67,78,32.10,68,27.98
John A. Rowland High,Los Angeles,253,86.69,228,78.16,219,74.74
Diamond Bar High,Los Angeles,567,92.36,525,85.67,528,84.08
Walnut High,Los Angeles,434,91.02,419,87.89,402,83.92
Gabrielino High,Los Angeles,285,89.06,262,81.88,251,78.44
Options for Youth San Gabriel,Los Angeles,31,70.45,12,27.27,10,22.73
Assurance Learning Academy,Los Angeles,3,16.67,0,0.00,0,0.00
iLEAD Hybrid,Los Angeles,60,77.92,41,53.25,40,51.95
Vasquez High,Los Angeles,29,90.63,20,62.50,19,59.38
Mira Costa High,Los Angeles,313,96.32,287,88.34,285,87.42
Redondo Union High,Los Angeles,252,90.68,219,78.85,214,76.70
New West Charter,Los Angeles,40,83.33,33,68.75,32,66.67
School of Arts and Enterprise,Los Angeles,40,60.61,12,18.18,12,18.18
Alhambra High,Los Angeles,315,77.97,256,63.37,232,57.43
Mark Keppel High,Los Angeles,348,90.39,328,85.19,317,82.34
San Gabriel High,Los Angeles,304,78.96,270,70.13,246,63.90
Da Vinci Design,Los Angeles,53,69.74,20,26.32,18,23.68
Da Vinci Innovation Academy,Los Angeles,92,87.62,79,75.24,76,72.38
Da Vinci Communications High,Los Angeles,21,75.00,11,39.29,11,39.29
Academia Avance Charter,Los Angeles,16,34.04,9,19.15,8,17.02
Chowchilla Union High,Madera,48,75.00,22,34.38,21,32.81
Madera South High,Madera,139,49.12,63,22.26,56,19.79
Madera High,Madera,158,57.88,97,35.53,84,30.77
Liberty High,Madera,53,84.13,30,47.62,29,46.03
Minarets High,Madera,14,70.00,5,25.00,5,25.00
Yosemite High,Madera,67,80.72,46,55.42,45,54.22
Novato High,Marin,162,84.38,130,67.71,127,66.15
San Marin High,Marin,153,94.44,113,69.75,112,69.14
San Rafael High,Marin,114,79.72,83,58.04,81,56.64
Terra Linda High,Marin,119,84.40,88,62.41,88,62.41
Tamiscal High (Alternative),Marin,18,94.74,14,73.68,14,73.68
Sir Francis Drake High,Marin,119,97.54,100,81.97,99,81.15
Redwood High,Marin,180,96.77,162,87.10,161,86.56
Tamalpais High,Marin,188,97.92,156,81.25,156,81.25
Tomales High,Marin,12,60.00,7,35.00,7,35.00
Mariposa County High,Mariposa,31,86.11,24,66.67,23,63.89
Anderson Valley Junior-Senior High,Mendocino,10,66.67,6,40.00,6,40.00
Fort Bragg High,Mendocino,50,81.97,32,52.46,32,52.46
Mendocino High,Mendocino,28,90.32,20,64.52,19,61.29
Ukiah High,Mendocino,88,82.24,75,70.09,71,66.36
Willits High,Mendocino,16,59.26,12,44.44,12,44.44
Laytonville High,Mendocino,17,85.00,13,65.00,13,65.00
Hilmar High,Merced,41,64.06,22,34.38,22,34.38
Le Grand High,Merced,20,41.67,10,20.83,8,16.67
Pacheco High,Merced,83,57.64,53,36.81,49,34.03
Los Banos High,Merced,81,66.39,45,36.89,44,36.07
El Capitan High,Merced,121,71.60,68,40.24,64,37.87
Golden Valley High,Merced,104,66.67,60,38.46,56,35.90
Buhach Colony High,Merced,131,74.43,70,39.77,66,37.50
Atwater High,Merced,85,62.50,43,31.62,42,30.88
Livingston High,Merced,68,56.20,43,35.54,39,32.23
Merced High,Merced,93,69.92,55,41.35,54,40.60
Gustine High,Merced,42,63.64,16,24.24,16,24.24
Dos Palos High,Merced,36,52.17,23,33.33,21,30.43
Delhi High,Merced,57,60.00,18,18.95,16,16.84
Modoc High,Modoc,11,73.33,8,53.33,8,53.33
Tulelake High,Modoc,10,43.48,3,13.04,3,13.04
Mammoth High,Mono,35,94.59,26,70.27,26,70.27
Millennium Charter High,Monterey,17,53.13,8,25.00,7,21.88
Carmel High,Monterey,29,100.00,27,93.33,28,93.33
Greenfield High,Monterey,27,39.13,9,13.04,9,13.04
King City High,Monterey,47,63.51,25,33.78,25,33.78
Marina High,Monterey,36,67.92,21,39.62,20,37.74
Monterey High,Monterey,137,74.86,92,50.27,90,49.18
Seaside High,Monterey,81,55.10,57,38.78,50,34.01
Pacific Grove High,Monterey,69,94.52,59,80.82,58,79.45
Alisal High,Monterey,150,53.96,97,34.89,84,30.22
Everett Alvarez High,Monterey,137,63.43,75,34.72,72,33.33
North Salinas High,Monterey,120,67.80,67,37.85,64,36.16
Salinas High,Monterey,207,73.14,147,51.94,137,48.41
North Monterey County High,Monterey,67,59.29,33,29.20,30,26.55
Soledad High,Monterey,73,45.96,21,13.66,20,12.42
Gonzales High,Monterey,51,61.18,22,27.06,20,23.53
Calistoga Junior-Senior High,Napa,15,57.69,10,38.46,9,34.62
American Canyon High,Napa,168,80.00,110,52.38,109,51.90
Vintage High,Napa,156,72.56,112,52.09,108,50.23
New Technology High,Napa,34,79.07,17,39.53,17,39.53
Napa High,Napa,152,77.95,110,56.41,103,52.82
Saint Helena High,Napa,47,81.03,31,53.45,31,53.45
Bitney Prep High,Nevada,14,82.35,8,47.06,7,41.18
William & Marian Ghidotti High,Nevada,31,100.00,31,100.00,31,100.00
Sierra Academy of Expeditionary Learning,Nevada,13,86.67,9,60.00,9,60.00
Bear River High,Nevada,57,91.94,46,74.19,45,72.58
Nevada Union High,Nevada,126,91.97,92,67.15,91,66.42
Samueli Academy,Orange,58,75.32,45,58.44,42,54.55
Cypress High,Orange,364,90.59,296,74.01,291,72.03
Anaheim High,Orange,127,63.50,75,37.50,68,34.00
Oxford Academy,Orange,179,100.00,164,91.71,166,91.71
Katella High,Orange,162,62.31,83,31.92,80,30.77
John F. Kennedy High,Orange,275,92.62,232,78.19,228,76.51
Loara High,Orange,136,67.00,75,36.95,66,32.51
Magnolia High,Orange,113,64.94,64,36.78,58,33.33
Savanna High,Orange,133,68.21,82,42.05,76,38.97
Western High,Orange,132,71.74,78,42.39,69,37.50
Brea-Olinda High,Orange,188,93.10,158,78.33,155,76.35
Capistrano Connections Academy,Orange,95,88.89,59,54.63,58,53.70
San Juan Hills High,Orange,298,94.62,240,76.27,239,75.63
Capistrano Valley High,Orange,250,93.28,220,82.09,217,80.97
Aliso Niguel High,Orange,404,95.31,366,86.38,359,84.27
Tesoro High,Orange,338,96.59,286,81.82,286,81.25
San Clemente High,Orange,316,92.96,254,74.78,252,73.90
Dana Hills High,Orange,316,95.48,259,78.31,253,76.20
Buena Park High,Orange,117,56.52,74,35.75,60,28.99
Fullerton Union High,Orange,180,83.33,141,65.28,137,63.43
La Habra High,Orange,201,77.91,149,57.75,137,53.10
Sonora High,Orange,202,83.82,169,70.12,162,67.22
Sunny Hills High,Orange,338,91.87,300,81.57,295,79.95
Troy High,Orange,504,97.19,486,93.82,496,92.88
Bolsa Grande High,Orange,278,79.66,236,67.62,218,62.46
Garden Grove High,Orange,309,82.01,201,53.44,195,51.59
La Quinta High,Orange,372,86.92,352,82.24,329,76.87
Los Amigos High,Orange,164,61.19,90,33.58,79,29.48
Pacifica High,Orange,232,87.88,192,72.73,185,70.08
Rancho Alamitos High,Orange,178,69.92,135,52.73,119,46.48
Santiago High,Orange,162,60.90,88,33.08,83,31.20
Ocean View High,Orange,135,79.41,89,52.35,84,49.41
Edison High,Orange,287,96.00,242,81.00,242,80.67
Fountain Valley High,Orange,549,93.39,508,86.44,498,84.41
Huntington Beach High,Orange,361,91.86,314,79.90,302,76.84
Marina High,Orange,232,90.98,210,82.35,202,79.22
Westminster High,Orange,288,78.26,259,70.38,236,64.13
Laguna Beach High,Orange,82,95.35,66,76.74,65,75.58
Early College High,Orange,39,88.64,32,72.73,31,70.45
Corona del Mar High,Orange,104,96.30,94,87.04,94,87.04
Costa Mesa High,Orange,90,82.57,61,55.96,59,54.13
Estancia High,Orange,94,68.12,55,39.86,53,38.41
Newport Harbor High,Orange,177,84.69,139,66.99,135,64.59
Canyon High,Orange,386,78.62,281,57.23,270,54.99
El Modena High,Orange,264,54.30,148,30.53,139,28.48
Orange High,Orange,146,36.05,70,17.28,64,15.80
Richland Continuation High,Orange,11,9.09,2,1.65,2,1.65
Villa Park High,Orange,381,66.15,229,39.76,217,37.67
Yorba Linda High,Orange,258,92.50,227,81.43,222,79.29
Esperanza High,Orange,198,90.41,177,80.82,173,79.00
El Dorado High,Orange,231,92.03,204,81.27,199,79.28
Valencia High,Orange,257,87.25,235,79.87,228,76.51
Nova Academy,Orange,43,66.15,17,26.15,17,26.15
Segerstrom High,Orange,293,47.49,181,29.34,160,25.93
Hector G. Godinez,Orange,287,47.44,212,35.04,170,28.10
Cesar E. Chavez High,Orange,4,4.82,1,1.20,1,1.20
Century High,Orange,90,25.57,36,10.23,26,7.39
Middle College High,Orange,67,81.71,43,52.44,41,50.00
OCSA,Orange,268,98.55,221,81.52,224,81.16
Lorin Griset Academy,Orange,7,4.67,2,1.33,2,1.33
Saddleback High,Orange,96,33.45,49,17.07,35,12.20
Santa Ana High,Orange,137,27.85,54,10.98,47,9.55
Valley High,Orange,89,23.73,46,12.27,36,9.60
El Toro High,Orange,246,89.13,217,78.62,208,75.36
Laguna Hills High,Orange,171,92.93,142,77.17,139,75.54
Trabuco Hills High,Orange,320,92.82,276,80.17,275,79.02
Mission Viejo High,Orange,246,90.55,206,76.00,203,73.82
Arnold O. Beckman High,Orange,374,90.89,355,86.33,354,84.89
Foothill High,Orange,286,92.86,239,77.60,235,76.30
Tustin High,Orange,252,68.48,169,45.92,156,42.39
Irvine High,Orange,231,95.62,221,92.03,226,90.04
Woodbridge High,Orange,274,97.87,247,88.30,246,87.23
Northwood High,Orange,279,97.05,272,94.75,285,93.44
University High,Orange,302,98.43,287,93.71,296,93.08
Los Alamitos High,Orange,523,93.09,418,74.47,412,73.05
John Adams Academy,Placer,22,95.65,19,82.61,18,78.26
Foresthill High,Placer,14,87.50,7,43.75,7,43.75
Colfax High,Placer,77,92.77,60,72.29,60,72.29
Del Oro High,Placer,235,90.38,208,80.00,202,77.69
Placer High,Placer,113,88.98,82,64.57,79,62.20
Antelope High,Placer,208,81.89,141,55.51,132,51.97
Woodcreek High,Placer,226,92.62,179,73.36,176,72.13
Granite Bay High,Placer,360,95.28,322,85.30,320,83.99
Oakmont High,Placer,195,89.50,160,73.52,155,70.78
Roseville High,Placer,237,87.78,173,64.07,171,63.33
North Tahoe High,Placer,35,76.09,23,50.00,23,50.00
Tahoe Truckee High,Placer,92,90.29,68,66.02,67,65.05
Lincoln High,Placer,142,81.25,91,52.27,90,51.14
Whitney High,Placer,246,90.44,195,71.69,192,70.59
Western Sierra Collegiate Academy,Placer,80,97.56,65,79.27,65,79.27
Rocklin High,Placer,248,91.54,217,80.15,214,78.68
Chester Junior/Senior High,Plumas,12,70.59,8,47.06,8,47.06
Quincy Junior/Senior High,Plumas,27,96.43,22,78.57,22,78.57
River Springs Charter,Riverside,38,90.48,24,57.14,24,57.14
Riverside County Education Academy,Riverside,6,30.00,3,15.00,2,10.00
Hillcrest High,Riverside,233,56.28,145,35.02,133,32.13
La Sierra High,Riverside,174,46.77,92,24.73,79,21.24
Norte Vista High,Riverside,208,38.31,95,17.50,82,15.10
Alvord Continuation High,Riverside,4,13.79,2,6.90,1,3.45
Banning High,Riverside,62,60.78,39,38.24,29,28.43
Beaumont Senior High,Riverside,286,51.81,129,23.37,124,22.46
Eleanor Roosevelt High,Riverside,478,78.85,352,58.03,339,55.57
John F. Kennedy High,Riverside,131,86.75,90,59.60,87,57.62
Centennial High,Riverside,333,77.62,258,60.14,248,57.81
Santiago High,Riverside,522,84.33,412,66.56,385,62.20
Corona High,Riverside,195,69.64,119,42.50,116,41.43
Norco High,Riverside,201,79.53,144,57.09,140,55.12
Shadow Hills High,Riverside,158,61.96,65,25.49,62,24.31
Palm Desert High,Riverside,190,85.97,137,61.99,137,61.99
La Quinta High,Riverside,259,77.31,148,44.18,141,42.09
Indio High,Riverside,91,58.71,28,18.06,26,16.77
Hamilton High,Riverside,32,52.46,14,22.95,11,18.03
Tahquitz High,Riverside,125,40.58,55,17.86,52,16.88
Western Center Academy,Riverside,57,96.61,45,76.27,45,76.27
Helen Hunt Jackson College Prep High School,Riverside,8,28.57,3,10.71,3,10.71
West Valley High,Riverside,138,41.95,54,16.41,52,15.81
Hemet High,Riverside,218,50.00,112,25.69,105,24.08
Patriot High,Riverside,165,68.75,100,41.67,94,39.17
Jurupa Valley High,Riverside,91,53.85,62,36.69,54,31.95
Rubidoux High,Riverside,89,63.12,32,22.70,31,21.99
Santa Rosa Academy,Riverside,60,85.71,33,47.14,31,44.29
Moreno Valley Online Academy,Riverside,7,25.93,3,11.11,2,7.41
Canyon Springs High,Riverside,242,45.57,111,20.90,100,18.83
Valley View High,Riverside,256,42.38,126,20.86,110,18.21
Bayside Community Day,Riverside,5,14.71,0,0.00,0,0.00
Vista del Lago High,Riverside,138,32.86,59,14.05,45,10.71
March Mountain High,Riverside,5,6.67,1,1.33,1,1.33
Moreno Valley High,Riverside,159,33.13,48,10.00,46,9.58
Nuview Bridge Early College High,Riverside,98,70.00,62,44.29,59,42.14
Rancho Mirage High,Riverside,146,71.22,81,39.51,76,37.07
Cathedral City High,Riverside,105,59.66,58,32.95,52,29.55
Desert Hot Springs High,Riverside,79,52.32,45,29.80,42,27.81
Palm Springs High,Riverside,153,70.83,92,42.59,87,40.28
Palo Verde High,Riverside,34,57.63,17,28.81,15,25.42
California Military Institute,Riverside,52,66.67,38,48.72,35,44.87
Heritage High,Riverside,171,58.36,87,29.69,79,26.96
Paloma Valley High,Riverside,253,74.63,153,45.43,146,43.07
Perris High,Riverside,128,53.11,51,21.16,49,20.33
Encore High School for the Arts - Riverside,Riverside,41,71.93,18,31.58,17,29.82
Arlington High,Riverside,141,64.38,74,33.79,68,31.05
Martin Luther King Jr. High,Riverside,370,84.67,279,63.84,271,62.01
John W. North High,Riverside,177,61.89,125,43.71,108,37.76
Polytechnic High,Riverside,224,72.73,149,48.38,140,45.45
Ramona High,Riverside,128,56.14,89,39.04,76,33.33
San Jacinto High,Riverside,163,61.51,77,29.06,69,26.04
San Jacinto Valley Academy,Riverside,22,47.83,19,41.30,14,30.43
Desert Mirage High,Riverside,73,41.71,24,13.71,22,12.57
NOVA Academy - Coachella,Riverside,11,39.29,4,14.29,3,10.71
West Shores High,Riverside,14,38.89,6,16.67,5,13.89
Coachella Valley High,Riverside,123,50.41,58,23.77,52,21.31
Lakeside High,Riverside,120,70.18,63,36.84,58,33.92
Temescal Canyon High,Riverside,231,79.11,154,52.74,147,50.34
Elsinore High,Riverside,142,78.02,95,52.20,85,46.70
Great Oak High,Riverside,492,88.49,386,69.42,373,67.09
Temecula Valley High,Riverside,331,86.42,244,63.71,237,61.88
Chaparral High,Riverside,443,82.37,305,56.59,295,54.73
Temecula Preparatory,Riverside,50,96.15,35,67.31,35,67.31
Vista Murrieta High,Riverside,435,84.47,303,58.83,293,56.89
Murrieta Mesa High,Riverside,254,75.82,155,46.27,150,44.78
Murrieta Valley High,Riverside,311,83.42,190,51.07,185,49.47
Citrus Hill High,Riverside,186,31.90,83,14.24,76,13.04
Val Verde Academy,Riverside,9,40.91,1,4.55,1,4.55
Rancho Verde High,Riverside,343,42.35,156,19.26,150,18.52
Monterey Trail High,Sacramento,226,70.85,142,44.51,131,41.07
Pleasant Grove High,Sacramento,339,92.66,306,83.70,296,80.43
Cosumnes Oaks High,Sacramento,312,83.02,258,68.70,246,65.25
Valley High,Sacramento,105,45.85,53,23.14,46,20.09
Florin High,Sacramento,77,56.20,39,28.47,36,26.28
Laguna Creek High,Sacramento,189,85.91,141,64.09,138,62.73
Sheldon High,Sacramento,217,76.14,159,55.79,148,51.93
Franklin High,Sacramento,395,87.58,316,70.07,300,66.52
Elk Grove High,Sacramento,190,84.44,166,73.78,157,69.78
Vista del Lago High,Sacramento,226,96.19,216,91.95,212,89.83
Cordova High,Sacramento,93,78.15,67,56.30,63,52.94
Folsom High,Sacramento,278,93.96,256,86.58,253,84.90
Liberty Ranch High,Sacramento,85,82.52,68,66.02,67,65.05
Galt High,Sacramento,50,60.24,35,42.17,31,37.35
Rio Vista High,Sacramento,28,77.78,16,44.44,16,44.44
Delta High,Sacramento,23,63.89,6,16.67,6,16.67
New Technology High,Sacramento,9,47.37,6,31.58,6,31.58
George Washington Carver School of Arts and Scienc,Sacramento,26,92.86,18,64.29,18,64.29
The MET,Sacramento,18,85.71,8,38.10,8,38.10
Rosemont High,Sacramento,103,67.10,75,49.03,70,45.16
Sacramento Charter High,Sacramento,74,56.92,34,26.15,29,22.31
Arthur A. Benjamin Health Professions High,Sacramento,10,58.82,2,11.76,2,11.76
School of Engineering & Sciences,Sacramento,22,88.00,15,60.00,15,60.00
West Campus,Sacramento,182,89.22,147,72.06,138,67.65
Luther Burbank High,Sacramento,83,37.90,41,18.72,33,15.07
Hiram W. Johnson High,Sacramento,67,46.53,28,19.44,24,16.67
John F. Kennedy High,Sacramento,207,76.67,164,60.74,150,55.56
C. K. McClatchy High,Sacramento,210,84.00,161,64.40,156,62.40
Kit Carson International Academy,Sacramento,12,54.55,5,22.73,4,18.18
Aspire Alexander Twilight Secondary Academy,Sacramento,8,53.33,2,13.33,2,13.33
Mesa Verde High,Sacramento,55,72.37,30,39.47,28,36.84
Bella Vista High,Sacramento,256,94.83,215,79.34,211,77.86
Options for Youth-San Juan,Sacramento,15,55.56,11,40.74,11,40.74
Visions In Education,Sacramento,54,90.00,38,63.33,38,63.33
Casa Roble Fundamental High,Sacramento,100,78.13,71,55.47,63,49.22
Del Campo High,Sacramento,121,83.45,98,67.59,93,64.14
El Camino Fundamental High,Sacramento,124,80.52,86,55.84,82,53.25
Encina Preparatory High,Sacramento,14,58.33,4,16.67,4,16.67
Mira Loma High,Sacramento,159,88.46,146,81.32,146,80.22
Rio Americano High,Sacramento,217,94.81,182,79.65,182,78.79
San Juan High,Sacramento,12,37.50,10,31.25,6,18.75
Center High,Sacramento,68,85.00,61,76.25,53,66.25
Inderkum High,Sacramento,202,73.99,129,47.25,125,45.79
Natomas Pacific Pathways Prep,Sacramento,93,84.55,59,53.64,56,50.91
Leroy Greene Academy,Sacramento,47,74.60,15,23.81,15,23.81
Natomas High,Sacramento,40,52.63,19,25.00,17,22.37
Natomas Charter,Sacramento,80,87.91,49,53.85,46,50.55
Futures High,Sacramento,27,75.00,18,50.00,16,44.44
Heritage Peak Charter,Sacramento,14,73.68,7,36.84,7,36.84
Creative Connections Arts Academy,Sacramento,12,42.86,6,21.43,5,17.86
Pacific Career and Technology High,Sacramento,4,11.43,0,0.00,0,0.00
Elwood J. Keema High,Sacramento,4,25.00,0,0.00,0,0.00
Vista Nueva Career and Technology High,Sacramento,3,8.11,0,0.00,0,0.00
Foothill High,Sacramento,73,36.87,38,19.19,31,15.66
Grant Union High,Sacramento,97,31.39,45,14.56,38,12.30
Highlands High,Sacramento,43,30.71,28,20.00,23,16.43
Rio Linda High,Sacramento,149,44.61,76,22.75,65,19.46
San Benito High,San Benito,214,76.98,156,56.12,144,51.80
Anzar High,San Benito,23,62.16,15,40.54,14,37.84
Barstow High,San Bernardino,55,64.71,37,43.53,33,38.82
Big Bear High,San Bernardino,51,87.93,45,77.59,43,74.14
Alta Loma High,San Bernardino,255,74.78,169,49.56,160,46.92
Etiwanda High,San Bernardino,455,81.25,302,53.93,290,51.79
Rancho Cucamonga High,San Bernardino,412,80.19,299,58.25,281,54.56
Los Osos High,San Bernardino,490,87.39,399,71.23,389,69.09
Colony High,San Bernardino,164,66.13,105,42.34,100,40.32
Chaffey High,San Bernardino,228,56.44,121,29.95,110,27.23
Montclair High,San Bernardino,208,62.09,155,46.27,140,41.79
Ontario High,San Bernardino,157,59.85,101,38.26,89,33.71
Don Antonio Lugo High,San Bernardino,172,48.45,71,20.00,60,16.90
Ruben S. Ayala High,San Bernardino,486,75.70,355,55.30,341,53.12
Chino Hills High,San Bernardino,534,75.99,383,54.55,366,51.99
Buena Vista Continuation High,San Bernardino,8,8.60,2,2.15,2,2.15
Chino High,San Bernardino,252,47.55,119,22.45,106,20.00
Grand Terrace High School at the Ray Abril Jr. Edu,San Bernardino,131,63.59,64,31.07,55,26.70
Bloomington High,San Bernardino,134,66.34,69,34.16,63,31.19
Colton High,San Bernardino,75,58.14,33,25.58,29,22.48
Summit High,San Bernardino,211,71.28,125,42.23,111,37.50
Jurupa Hills High,San Bernardino,115,59.90,63,32.81,60,31.25
Fontana A. B. Miller High,San Bernardino,109,68.13,52,32.50,49,30.63
Henry J. Kaiser High,San Bernardino,153,58.40,66,25.19,63,24.05
Fontana High,San Bernardino,164,51.74,81,25.55,69,21.77
Academy of Careers and Exploration,San Bernardino,24,77.42,11,35.48,11,35.48
Twentynine Palms High,San Bernardino,47,73.44,34,53.13,31,48.44
Yucca Valley High,San Bernardino,93,82.30,69,61.06,66,58.41
Needles High,San Bernardino,15,68.18,7,31.82,7,31.82
Riverside Preparatory,San Bernardino,38,62.30,21,34.43,19,31.15
Citrus Valley High,San Bernardino,322,66.94,230,47.82,210,43.66
Redlands East Valley High,San Bernardino,330,70.28,226,48.20,220,46.71
Grove,San Bernardino,15,88.24,14,82.35,14,82.35
Orangewood High (Continuation),San Bernardino,5,13.51,3,8.11,2,5.41
Redlands Senior High,San Bernardino,386,78.46,273,55.69,260,52.85
Wilmer Amina Carter High,San Bernardino,253,45.92,109,19.78,96,17.42
Milor Continuation High,San Bernardino,2,11.76,1,5.88,1,5.88
Rialto High,San Bernardino,243,41.75,118,20.27,103,17.70
